team;Nombre_matchs;Nombre_victoires;Somme_cotes_si_victoires;Somme_cotes_si_victoires_retire_marge;Somme_cotes_toutes;Somme_cotes_toutes_retire_marge;ROI_pourcent;ROI_pourcent_retire_marge;Indice_de_retour;Indice_de_retour_retire_marge;Cote_moyenne_tous_matchs;Cote_moyenne_tous_matchs_retire_marge;Taux_de_victoire;Marge_bookmaker_assumee_%
Nice;361;163;446.17;472.9402;1120.41;1187.6346;23.592797783933523;31.008365650969534;1.2359279778393353;1.3100836565096954;3.1036288088642663;3.289846537396122;0.4515235457063712;6.0
Lens;182;86;201.25;213.32500000000002;478.4;507.10400000000004;10.576923076923077;17.21153846153847;1.1057692307692308;1.1721153846153847;2.6285714285714286;2.7862857142857145;0.4725274725274725;6.0
Clermont;110;31;118.96;126.0976;486.86;516.0716;8.145454545454541;14.634181818181819;1.0814545454545454;1.1463418181818181;4.426;4.69156;0.2818181818181818;6.0
Brest;209;75;222.46;235.8076;838.95;889.287;6.440191387559812;12.8266028708134;1.064401913875598;1.128266028708134;4.014114832535886;4.254961722488038;0.3588516746411483;6.0
Nimes;104;31;110.3;116.918;496.94;526.7564;6.057692307692305;12.421153846153853;1.060576923076923;1.1242115384615385;4.778269230769231;5.064965384615385;0.2980769230769231;6.0
Lille;362;165;374.8;397.288;1038.26;1100.5556000000001;3.5359116022099477;9.748066298342545;1.0353591160220994;1.0974806629834255;2.868121546961326;3.040208839779006;0.4558011049723757;6.0
Rennes;361;151;373.51;395.92060000000004;1049.1200000000001;1112.0672;3.465373961218834;9.673296398891978;1.0346537396121884;1.0967329639889198;2.906149584487535;3.0805185595567868;0.4182825484764543;6.0
Monaco;362;191;374.36;396.82160000000005;828.43;878.1358;3.4143646408839814;9.61922651933703;1.0341436464088398;1.0961922651933702;2.2884806629834253;2.4257895027624308;0.5276243093922652;6.0
Reims;286;86;290.49;307.9194;1098.72;1164.6432;1.5699300699300731;7.664125874125872;1.0156993006993007;1.0766412587412588;3.8416783216783217;4.0721790209790205;0.3006993006993007;6.0
Metz;212;51;215.16;228.0696;1101.91;1168.0246;1.4905660377358474;7.580000000000004;1.0149056603773585;1.0758;5.197688679245283;5.50955;0.24056603773584906;6.0
Paris SG;356;262;355.49;376.81940000000003;497.44;527.2864000000001;-0.14325842696628957;5.848146067415739;0.9985674157303371;1.0584814606741575;1.3973033707865168;1.481141573033708;0.7359550561797753;6.0
